Order_ID,Order_Date,Customer_ID,Gender,Age,City,Product,Category,Price,Quantity,Payment_Method,Revenue
1001,2024-01-01,2102,Male,23,Port Harcourt,Laptop,Home Appliances,385589,1,Transfer,385589
1002,2024-01-02,2435,Female,35,Ibadan,Blender,Home Appliances,153892,4,Card,615568
1003,2024-01-03,2860,Female,22,Ibadan,Blender,Electronics,259717,4,Transfer,1038868
1004,2024-01-04,2270,Female,42,Kano,Laptop,Electronics,314167,2,Card,628334
1005,2024-01-05,2106,Female,19,Kano,Phone,Home Appliances,169654,2,Transfer,339308
1006,2024-01-06,2071,Female,27,Abuja,Phone,Home Appliances,240868,2,Card,481736
1007,2024-01-07,2700,Male,47,Abuja,Blender,Home Appliances,130073,3,Transfer,390219
1008,2024-01-08,2020,Female,22,Lagos,Laptop,Home Appliances,404341,2,Cash,808682
1009,2024-01-09,2614,Male,50,Kano,Phone,Home Appliances,114429,4,Transfer,457716
1010,2024-01-10,2121,Female,18,Port Harcourt,Laptop,Home Appliances,154195,1,Transfer,154195
1011,2024-01-11,2466,Male,35,Kano,Laptop,Electronics,242699,3,Card,728097
1012,2024-01-12,2214,Male,49,Port Harcourt,Laptop,Home Appliances,83848,2,Card,167696
1013,2024-01-13,2330,Female,28,Ibadan,Fridge,Electronics,481020,3,Transfer,1443060
1014,2024-01-14,2458,Female,38,Kano,Laptop,Home Appliances,458595,3,Cash,1375785
1015,2024-01-15,2087,Female,43,Ibadan,Fridge,Home Appliances,339910,2,Cash,679820
1016,2024-01-16,2372,Male,42,Abuja,Blender,Electronics,118099,3,Card,354297
1017,2024-01-17,2099,Female,39,Abuja,Phone,Electronics,479276,1,Cash,479276
1018,2024-01-18,2871,Male,44,Lagos,Phone,Electronics,119122,4,Transfer,476488
1019,2024-01-19,2663,Male,30,Kano,Phone,Electronics,197159,4,Card,788636
1020,2024-01-20,2130,Male,50,Ibadan,Phone,Home Appliances,98868,1,Transfer,98868
1021,2024-01-21,2661,Female,51,Port Harcourt,Phone,Electronics,169119,3,Card,507357
1022,2024-01-22,2308,Female,58,Abuja,Phone,Home Appliances,466441,2,Card,932882
1023,2024-01-23,2769,Male,52,Abuja,Phone,Electronics,407430,3,Card,1222290
1024,2024-01-24,2343,Male,18,Port Harcourt,Blender,Home Appliances,318787,1,Card,318787
1025,2024-01-25,2491,Female,38,Ibadan,Laptop,Home Appliances,348871,3,Cash,1046613
1026,2024-01-26,2413,Male,23,Ibadan,TV,Home Appliances,454221,4,Transfer,1816884
1027,2024-01-27,2805,Female,45,Kano,Fridge,Home Appliances,159079,3,Transfer,477237
1028,2024-01-28,2385,Male,34,Kano,TV,Home Appliances,377841,1,Transfer,377841
1029,2024-01-29,2191,Female,22,Lagos,TV,Home Appliances,66029,4,Card,264116
1030,2024-01-30,2955,Male,48,Abuja,Laptop,Electronics,296353,3,Cash,889059
1031,2024-01-31,2276,Female,22,Kano,Laptop,Home Appliances,457442,3,Transfer,1372326
1032,2024-02-01,2160,Male,55,Ibadan,Laptop,Electronics,244718,4,Cash,978872
1033,2024-02-02,2459,Female,20,Port Harcourt,Phone,Electronics,471947,2,Card,943894
1034,2024-02-03,2313,Female,40,Ibadan,Blender,Home Appliances,421602,4,Transfer,1686408
1035,2024-02-04,2021,Male,54,Abuja,Phone,Electronics,422528,2,Cash,845056
1036,2024-02-05,2252,Male,54,Ibadan,Blender,Home Appliances,118926,1,Card,118926
1037,2024-02-06,2747,Female,27,Lagos,Blender,Electronics,187069,1,Cash,187069
1038,2024-02-07,2856,Male,27,Abuja,TV,Home Appliances,367650,4,Transfer,1470600
1039,2024-02-08,2560,Female,36,Port Harcourt,TV,Electronics,390373,4,Transfer,1561492
1040,2024-02-09,2474,Male,34,Lagos,Blender,Home Appliances,493031,1,Card,493031
1041,2024-02-10,2058,Female,38,Abuja,Blender,Home Appliances,92092,2,Card,184184
1042,2024-02-11,2510,Female,31,Port Harcourt,Phone,Home Appliances,374683,1,Card,374683
1043,2024-02-12,2681,Female,26,Lagos,Phone,Home Appliances,202889,4,Cash,811556
1044,2024-02-13,2475,Female,18,Lagos,TV,Electronics,218933,1,Cash,218933
1045,2024-02-14,2699,Female,30,Abuja,Laptop,Home Appliances,63428,4,Cash,253712
1046,2024-02-15,2975,Female,21,Kano,Blender,Electronics,225006,4,Card,900024
1047,2024-02-16,2782,Male,18,Lagos,Phone,Electronics,296627,1,Transfer,296627
1048,2024-02-17,2189,Male,57,Lagos,TV,Electronics,295439,2,Transfer,590878
1049,2024-02-18,2957,Male,49,Port Harcourt,Phone,Home Appliances,191330,3,Cash,573990
1050,2024-02-19,2686,Female,51,Ibadan,Blender,Electronics,107775,1,Cash,107775
1051,2024-02-20,2957,Female,45,Abuja,Blender,Electronics,262652,3,Transfer,787956
1052,2024-02-21,2562,Female,48,Abuja,Fridge,Electronics,317613,1,Transfer,317613
1053,2024-02-22,2875,Female,25,Kano,Laptop,Home Appliances,340998,3,Cash,1022994
1054,2024-02-23,2566,Male,56,Kano,Fridge,Home Appliances,187328,2,Cash,374656
1055,2024-02-24,2243,Male,43,Abuja,TV,Electronics,305158,2,Transfer,610316
1056,2024-02-25,2831,Female,51,Kano,Phone,Home Appliances,126256,1,Card,126256
1057,2024-02-26,2504,Male,20,Port Harcourt,TV,Home Appliances,477153,4,Cash,1908612
1058,2024-02-27,2130,Male,29,Abuja,Blender,Electronics,411278,3,Transfer,1233834
1059,2024-02-28,2484,Female,18,Kano,Fridge,Electronics,182723,4,Transfer,730892
1060,2024-02-29,2818,Male,22,Abuja,Fridge,Home Appliances,231360,4,Transfer,925440
1061,2024-03-01,2646,Female,47,Ibadan,Fridge,Electronics,396874,4,Transfer,1587496
1062,2024-03-02,2020,Male,47,Lagos,TV,Home Appliances,468267,2,Card,936534
1063,2024-03-03,2840,Female,34,Abuja,Blender,Home Appliances,339530,1,Transfer,339530
1064,2024-03-04,2166,Female,40,Lagos,Phone,Home Appliances,292634,1,Cash,292634
1065,2024-03-05,2273,Female,32,Kano,Phone,Home Appliances,459400,2,Card,918800
1066,2024-03-06,2387,Female,54,Lagos,TV,Home Appliances,83787,2,Transfer,167574
1067,2024-03-07,2600,Male,38,Abuja,Fridge,Home Appliances,71621,1,Card,71621
1068,2024-03-08,2315,Female,31,Ibadan,Laptop,Electronics,127984,4,Cash,511936
1069,2024-03-09,2013,Female,19,Kano,TV,Electronics,488469,3,Transfer,1465407
1070,2024-03-10,2241,Female,28,Abuja,TV,Home Appliances,346195,3,Cash,1038585
1071,2024-03-11,2776,Male,56,Kano,Blender,Home Appliances,361955,3,Transfer,1085865
1072,2024-03-12,2345,Female,55,Port Harcourt,Phone,Home Appliances,80447,4,Transfer,321788
1073,2024-03-13,2564,Male,51,Lagos,TV,Electronics,178046,1,Transfer,178046
1074,2024-03-14,2897,Female,55,Port Harcourt,TV,Home Appliances,265002,2,Transfer,530004
1075,2024-03-15,2339,Male,51,Abuja,Fridge,Electronics,211326,1,Transfer,211326
